Hotel Name,Location,Rating,Room Score,Room Type,Bed Type,Price,City,Country,twins,fulls,queen,king,sofa beds,bunk beds,futon beds,Number of bed
Krabi La Playa Resort - SHA Plus,Ao Nang Beach,8.2,8.6,Deluxe Double or Twin Room,   1 double or 2 twins,146.026,Krabi,Thailand,2,0,0,0,0,0,0,2
Rawai VIP Villas & Kids Park,Rawai Beach,8.3,8.9,2 Bedroom Pool Villa,2 queen beds,435.384,Phuket,Thailand,0,0,2,0,0,0,0,2
"FuramaXclusive Sathorn, Bangkok","Bang Rak, Bangkok",7.7,8.1,Executive Double Room,1 full bed,146.24,Bangkok,Thailand,0,1,0,0,0,0,0,1
Bo Phut Resort and Spa - SHA Plus,Bophut,9.3,9.6,Villa with Garden View,   1 double or 2 twins,621.072,Ko Samui,Thailand,2,0,0,0,0,0,0,2
Abloom Exclusive Serviced Apartments,"Phaya Thai, Bangkok",8.1,8.4,One Bedroom Deluxe(Flash Sales),1 full bed,178.109,Bangkok,Thailand,0,1,0,0,0,0,0,1
"Bandara Suites Silom, Bangkok - SHA Extra Plus","Bang Rak, Bangkok",8.3,8.7,Studio,   1 double or 2 twins,176.217,Bangkok,Thailand,2,0,0,0,0,0,0,2
Bhukitta Boutique Hotel,Phuket,7.6,8.0,Superior Double or Twin Room,1 queen bed,84.658,Phuket,Thailand,0,0,1,0,0,0,0,1
Hotel Verdigris,Phuket,9.4,9.7,Twin Room,2 twin beds,407.481,Phuket,Thailand,2,0,0,0,0,0,0,2
Spacious apartment with Ocean view in Panwa,Phuket,9.1,9.4,Two-Bedroom Apartment,"3 beds (2 twins, 1 king)",173.845,Phuket,Thailand,2,0,0,1,0,0,0,3
Explorar Koh Samui - Adults Only Resort and Spa,Mae Nam,9.1,9.5,Deluxe Double or Twin Room with Balcony,1 king bed,384.935,Ko Samui,Thailand,0,0,0,1,0,0,0,1
Waterfront Suites Phuket by Centara,Karon Beach,8.5,8.6,One-Bedroom Suite with Sea View,"3 beds (2 twins, 1 sofa bed)",202.186,Phuket,Thailand,2,0,0,0,0,0,0,3
Art Mai Gallery Nimman Hotel Chiang Mai - SHA Plus,"Nimmanhaemin, Chiang Mai",8.3,8.8,Premier Art Room,   1 double or 2 twins,199.88,Chiang Mai,Thailand,2,0,0,0,0,0,0,2
The Leaf Oceanside by Katathani - SHA Extra Plus,"Nang Thong Beach, Khao Lak",8.6,8.9,Cottage Double or Twin Room,   1 double or 2 twins,101.895,Khao Lak,Thailand,2,0,0,0,0,0,0,2
Twin Lotus Resort and Spa - SHA Plus - Adult Only Hotel,"Klong Dao Beach, Ko Lanta",8.5,9.0,Villa with Garden View,1 king bed,253.604,Ko Lanta,Thailand,0,0,0,1,0,0,0,1
Siam Subway Hostel and Café,"Bangkok Old Town, Bangkok",9.4,9.5,Deluxe King Room with Shared Bathroom,1 queen bed,98.66,Bangkok,Thailand,0,0,1,0,0,0,0,1
TheView Chaengwattana14 14,"Don Muang, Bangkok",8.6,9.0,One-Bedroom Apartment,1 queen bed,66.254,Bangkok,Thailand,0,0,1,0,0,0,0,1
The Blanket Hotel Phuket Town - SHA Plus,Phuket,8.0,8.6,Deluxe King or Twin Room,2 twin beds,126.738,Phuket,Thailand,2,0,0,0,0,0,0,2
The Siamese Hotel,North Pattaya,8.7,8.9,Deluxe Double Room,1 king bed,144.177,Pattaya,Thailand,0,0,0,1,0,0,0,1
Paradise Resort Phi Phi-SHA Plus,"Long Beach, Phi Phi Islands",7.9,0.0,Thai Modern Apartment,1 full bed,168.207,Phi Phi Islands,Thailand,0,1,0,0,0,0,0,1
S3 Siam Bangkok Hotel,"Pathumwan, Bangkok",8.2,8.7,Superior King Room,1 king bed,194.085,Bangkok,Thailand,0,0,0,1,0,0,0,1
Haad Salad Villa,Salad Beach,8.6,8.5,Standard Bungalow,1 queen bed,115.21900000000001,Ko Phangan,Thailand,0,0,1,0,0,0,0,1
Maven Stylish Hotel Hua Hin,Hua Hin,8.6,9.3,Superior Double or Twin Room with City View,2 twin beds,167.829,Hua Hin,Thailand,2,0,0,0,0,0,0,2
Sawasdee House,"Khaosan, Bangkok",7.7,0.0,Superior Double Room with Window,1 queen bed,90.57300000000001,Bangkok,Thailand,0,0,1,0,0,0,0,1
Casa De Mar - SHA Plus,"Chaweng Beachfront, Chaweng",8.2,8.4,Superior Double or Twin Room,1 king bed,265.286,Chaweng,Thailand,0,0,0,1,0,0,0,1
Luxury Apartment at Title Residencies Naiyang Beach,Phuket,7.3,8.3,Apartment with Pool View,1 queen bed,84.427,Phuket,Thailand,0,0,1,0,0,0,0,1
I Pavilion Hotel Phuket - SHA Extra Plus,Phuket,8.5,8.9,Superior Double or Twin Room,2 twin beds,78.09100000000001,Phuket,Thailand,2,0,0,0,0,0,0,2
