Date,Global_active_power,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2006-12-16,3.05,13.08,0.0,1.38,12.44
2006-12-17,2.35,10.0,1.41,2.91,9.26
2006-12-18,1.53,6.42,0.74,1.82,9.73
2006-12-19,1.16,4.93,0.58,5.28,4.3
2006-12-20,1.55,6.47,0.0,1.84,9.77
2006-12-21,1.19,5.03,1.23,1.82,7.25
2006-12-22,1.63,6.87,2.19,0.24,7.73
2006-12-23,3.31,14.03,1.85,0.3,10.23
2006-12-24,1.77,7.64,1.18,3.53,4.79
2006-12-25,1.9,7.95,4.6,1.36,4.02
2006-12-26,2.73,11.35,0.75,1.76,10.4
2006-12-27,1.06,4.52,0.0,0.22,4.84
2006-12-28,1.44,6.09,1.53,3.07,6.37
2006-12-29,2.2,9.27,0.87,3.58,7.87
2006-12-30,1.94,8.29,2.14,5.49,8.68
2006-12-31,2.43,10.2,0.0,0.24,4.52
2007-01-01,1.91,7.92,0.0,0.24,4.08
2007-01-02,0.88,3.71,0.0,0.24,4.56
2007-01-03,0.7,3.01,0.0,0.24,3.31
2007-01-04,2.26,9.48,0.73,5.28,7.57
2007-01-05,1.88,7.89,1.03,0.26,5.28
2007-01-06,1.05,4.54,0.93,0.28,3.94
2007-01-07,1.7,7.28,1.38,5.68,8.9
2007-01-08,1.56,6.55,0.0,0.32,12.19
2007-01-09,1.3,5.52,1.17,2.96,6.8
2007-01-10,1.5,6.36,0.54,3.09,7.65
2007-01-11,1.57,6.66,0.96,1.51,8.62
2007-01-12,1.01,4.31,0.0,0.3,5.75
2007-01-13,2.21,9.45,5.42,2.07,7.88
2007-01-14,2.09,8.97,1.23,2.93,9.02
2007-01-15,1.49,6.26,0.76,1.55,10.53
2007-01-16,1.17,4.98,1.43,0.45,4.57
2007-01-17,1.98,8.28,2.43,3.98,11.16
2007-01-18,1.26,5.34,0.0,0.23,9.37
2007-01-19,1.03,4.38,1.46,0.23,4.98
2007-01-20,2.18,9.35,3.0,3.63,7.94
2007-01-21,2.37,10.19,7.18,3.87,8.05
2007-01-22,1.51,6.36,0.73,2.07,7.89
2007-01-23,1.23,5.26,0.0,0.74,3.51
2007-01-24,2.07,8.73,2.41,1.72,8.16
2007-01-25,1.11,4.63,0.8,0.18,7.8
2007-01-26,1.12,4.72,0.81,0.18,5.72
2007-01-27,1.42,5.95,0.81,2.71,8.59
2007-01-28,2.15,9.13,2.41,2.78,8.37
2007-01-29,1.38,5.79,0.78,0.2,10.59
2007-01-30,1.19,5.03,0.78,0.99,5.66
2007-01-31,1.64,6.92,0.0,4.13,10.45
2007-02-01,1.27,5.33,0.81,0.27,9.13
2007-02-02,1.16,4.87,0.0,0.25,7.87
2007-02-03,2.8,11.82,3.3,3.18,12.38
2007-02-04,2.5,10.57,2.35,3.19,10.05
2007-02-05,1.14,4.82,0.62,1.78,5.45
2007-02-06,0.88,3.77,0.82,0.28,3.14
2007-02-07,1.62,6.79,2.29,2.44,8.32
2007-02-08,1.25,5.25,1.55,0.25,7.05
2007-02-09,1.13,4.73,0.0,2.11,6.78
2007-02-10,1.96,8.3,3.52,1.97,10.0
2007-02-11,2.48,10.53,1.69,3.31,9.11
2007-02-12,1.3,5.5,1.55,0.28,8.0
2007-02-13,0.98,4.14,0.0,1.96,4.34
2007-02-14,1.74,7.32,2.29,2.63,8.04
2007-02-15,1.38,5.82,0.0,1.64,9.74
2007-02-16,1.18,5.05,0.8,0.6,6.03
2007-02-17,1.44,6.13,1.23,1.55,4.97
2007-02-18,2.66,11.24,4.24,5.56,9.12
2007-02-19,1.52,6.44,1.13,2.01,9.09
2007-02-20,2.19,9.17,1.43,3.6,6.75
2007-02-21,1.44,6.07,2.45,1.62,8.02
2007-02-22,2.34,9.87,0.98,2.87,8.52
2007-02-23,0.91,3.83,0.0,0.35,7.49
2007-02-24,0.5,2.09,0.0,0.25,2.47
2007-02-25,0.35,1.46,0.0,0.23,1.15
2007-02-26,0.39,1.66,0.0,0.23,1.97
2007-02-27,0.36,1.52,0.0,0.22,1.34
2007-02-28,0.36,1.53,0.0,0.24,1.37
2007-03-01,0.36,1.51,0.0,0.22,1.38
2007-03-02,0.36,1.51,0.0,0.24,1.37
2007-03-03,0.57,2.4,0.0,0.24,3.19
2007-03-04,1.45,6.16,1.02,6.05,6.53
2007-03-05,1.85,7.84,3.98,8.41,6.96
2007-03-06,0.87,3.7,0.0,1.21,3.26
2007-03-07,1.65,6.94,0.75,3.31,10.77
2007-03-08,1.09,4.67,1.51,2.35,4.62
2007-03-09,0.88,3.73,0.76,0.24,5.99
2007-03-10,1.73,7.34,2.87,3.77,7.62
2007-03-11,2.42,10.12,3.34,2.38,6.6
2007-03-12,1.35,5.73,0.97,1.97,8.58
2007-03-13,0.9,3.81,0.94,2.68,3.7
2007-03-14,1.25,5.27,2.42,0.33,5.98
2007-03-15,1.31,5.52,0.0,2.27,7.66
2007-03-16,1.18,4.99,0.77,3.2,3.73
2007-03-17,1.41,5.95,1.53,0.25,8.52
2007-03-18,1.65,7.01,4.56,5.12,4.07
2007-03-19,1.49,6.28,1.14,1.87,9.8
2007-03-20,1.45,6.15,2.6,1.97,7.82
