Date,State,Review,Rating,Image 1,Image 2
2023-07-05,Pennsylvania,I just wanted to go out of my way to recognize a Starbucks employee Billy at the Franklin Park location! I was running late to work & placed an order at the wrong location and not only did he make my order with a smile he made it within 60 seconds! Thank you SOO much I was having a bad morning and people like you just make this world a better place.,5.0,https://media.consumeraffairs.com/files/cache/reviews/starbucks_804950_thumbnail.jpg,
2023-01-22,Oregon,I’m on this kick of drinking 5 cups of warm water. I work for Instacart right now and every location of Starbucks I was given free hot water because I asked for it without being charged. I really appreciate Starbucks for giving me the opportunity to do such thing. That’s why I give them five stars. They fully have my support. They’re super nice and professional and the coffee is great. Go to Starbucks.,5.0,https://media.consumeraffairs.com/files/cache/reviews/starbucks_793785_thumbnail.jpeg,https://media.consumeraffairs.com/files/cache/reviews/starbucks_793787_thumbnail.jpg
2023-07-27,California,"I filed a BBB complaint last month because Starbucks canceled my Starbucks Reward cards. I couldn't remember the balances, so I guessed about $9. Starbucks played nothing but games and tried everything they could to avoid responding to the complaint. I received a couple of phone call messages asking me to contact them directly and discuss the matter. The number provided was the customer service number and when I spoke with one representative, Linda hung up the phone on me. I did not use my card since 2012 which is my prerogative. Because of this and other reasons, Starbucks decided to close my Starbucks account. I reopened one about a few weeks ago and added a new card that I have not used yet.",1.0,https://media.consumeraffairs.com/files/cache/reviews/starbucks_806740_thumbnail.jpg,
2023-05-22,Texas,"This past Sunday, 5/21/2023 we went through the drive in and bought 2 Double smoked breakfast sandwiches, expecting it to have back and Gruyere cheese and an egg. They did not. We got 2 buns pasted together with unidentifiable something. We were on the road somewhere or I would have turned around and returned them. I know their food comes pre packaged and only warmed at the store, so I fault the company for falsely selling food that does not meet the picture on display at the ordering kiosk. Just how many millions does Starbucks need to make on a daily basis? Their food is already overpriced. I mean, how much does 1 egg, 1 small slices of bacon and cheese cost?",1.0,https://media.consumeraffairs.com/files/cache/reviews/starbucks_801697_thumbnail.jpeg,
2022-11-17,California,"Starbucks had an ad on Veterans Day for complimentary coffee for Vets. I go to Starbucks at least once a day and my Sherman Oaks location didn’t know about it. I called corporate, who confirmed it was a fake ad. I asked my San Diego Marines about it, and they advised Starbucks was honoring it. I went online to contact Starbucks, and they said they’d look into it, call me back, and even looked on my account and said they would gift me $10. ALL WAS A LIE. I was never contacted, didn’t receive the $10 (unimportant), and reached out this morning and was hung up on. Starbucks has lost a loyal life long customer. I will also tell every veteran I know that Starbucks does not honor service members and they have no integrity. Disappointing!!!",1.0,https://media.consumeraffairs.com/files/cache/reviews/starbucks_789669_thumbnail.jpeg,
2022-02-23,Pennsylvania,I ordered 2 mint Frappuccino and it was not frozen. I returned to the facility and an Asian guy looked very upset. He redone my drinks and he still could not make it correct. He forgot to add the chocolate syrup and was told and he snatched it off the counter with attitude! And he added cookie crumbs not the syrup. He made me feel very uncomfortable! On top of that I tried it and it was not good. I do not recommend this location at Washington Square. If you see this guy do not let him make your drink!,1.0,https://media.consumeraffairs.com/files/cache/reviews/starbucks_745719_thumbnail.jpg,https://media.consumeraffairs.com/files/cache/reviews/starbucks_745722_thumbnail.jpg
2020-12-07,Oregon,"On Sunday I order my quad Americano. I get to work and realized there is no sticker on the cup. Decaf is marked with the name ""Gamer."" On Monday, I returned and was told ""sorry, nothing I can do"". Bye SB.",1.0,https://media.consumeraffairs.com/files/cache/reviews/starbucks_643325_thumbnail.jpg,
2020-02-21,California,"I normally buy my Grande Pike at this Starbucks: 138 S Central Ave, Los Angeles, CA 90012. Today I decided to add bagel and cream cheese to complete my breakfast. I left and had to go back asap because the cream cheese given to me was an opened and used one. I asked for the Manager and she accommodated me but I had to say my piece to Chris who served me. I told him what was he even thinking about???? With all the plague all over the world why would you do that. He apologized but it never affected me because I don't know why he did that. Asked him why give me somebody else cream cheese??? What if it is contaminated. So how can I trust Starbucks now. Is that the training you have for your employees??? It is so Disgusting. I wish I could attach a picture of the  cream cheese. So consumers check what you buy all the time.",1.0,https://media.consumeraffairs.com/files/cache/reviews/starbucks_543635_thumbnail.jpg,
2019-07-31,Texas,Bought the cocoa cloud in a couple of locations and man what a waste of money. The last drink I got was 80-85% foam. This has been the trend. Pathetic especially since we are paying full price for the drink which is over after a couple of sips.,1.0,https://media.consumeraffairs.com/files/cache/reviews/starbucks_456919_thumbnail.jpg,https://media.consumeraffairs.com/files/cache/reviews/starbucks_456922_thumbnail.jpg
2018-11-09,California,"I have enjoyed Starbucks for years as well as the free wifi. Currently I am homeless and utilize the free internet Starbucks on Foothill Blvd, in Pomona California provides. Until now. Starbucks has called the police on myself and my boyfriend several times. I assumed for being in the parking lot a little too long or because our van is a bit of an eyesore with all of our things piled on top. ",1.0,https://media.consumeraffairs.com/files/cache/reviews/starbucks_320005_thumbnail.jpg,
